[04-24 20:49:39] [INFO]: unseen per AA [0. 0.], kappa is 0.0
[04-24 20:49:41] [INFO]: unseen per AA [0. 0.], kappa is 0.0
[04-24 20:49:43] [INFO]: unseen per AA [0. 0.], kappa is 0.0
[04-24 20:49:45] [INFO]: unseen per AA [0.   0.   9.32 0.   0.  ], kappa is 0.0
[04-24 20:49:47] [INFO]: unseen per AA [ 0.    0.   25.48  0.    0.  ], kappa is 0.0
[04-24 20:49:49] [INFO]: unseen per AA [ 0.    0.   30.41  0.    0.  ], kappa is 0.0
[04-24 20:49:51] [INFO]: unseen per AA [0.   0.   9.86 0.   0.  ], kappa is 0.0
[04-24 20:49:53] [INFO]: unseen per AA [0.   0.   9.32 0.   0.  ], kappa is 0.0
[04-24 20:49:55] [INFO]: unseen per AA [ 0.    0.   12.33  0.    0.  ], kappa is 0.0
[04-24 20:49:58] [INFO]: unseen per AA [0.   0.   9.59 0.   0.  ], kappa is 0.0
[04-24 20:50:00] [INFO]: unseen per AA [ 0.    0.   23.01  0.    0.  ], kappa is 0.0
[04-24 20:50:02] [INFO]: unseen per AA [ 0.    0.   15.34  0.    0.  ], kappa is 0.0
[04-24 20:50:04] [INFO]: unseen per AA [ 0.    0.   24.11  0.    0.  ], kappa is 0.0
[04-24 20:50:06] [INFO]: unseen per AA [ 0.   0.  38.9  0.   0. ], kappa is 0.0
[04-24 20:50:08] [INFO]: unseen per AA [ 0.    0.   18.63  0.    0.  ], kappa is 0.0
[04-24 20:50:08] [CRITICAL]: Current experment have been finished.

[04-25 14:57:52] [INFO]: unseen per AA [0. 0.], kappa is 0.0
[04-25 14:57:53] [INFO]: unseen per AA [0. 0.], kappa is 0.0
[04-25 14:57:55] [INFO]: unseen per AA [0. 0.], kappa is 0.0
[04-25 14:57:57] [INFO]: unseen per AA [ 0.   0.  21.1  0.   0. ], kappa is 0.0
[04-25 14:57:59] [INFO]: unseen per AA [ 0.    0.   36.16  0.    0.  ], kappa is 0.0
[04-25 14:58:00] [INFO]: unseen per AA [ 0.    0.   27.95  0.    0.  ], kappa is 0.0
[04-25 14:58:02] [INFO]: unseen per AA [ 0.    0.   26.85  0.    0.  ], kappa is 0.0
[04-25 14:58:04] [INFO]: unseen per AA [ 0.    0.   11.23  0.    0.  ], kappa is 0.0
[04-25 14:58:06] [INFO]: unseen per AA [ 0.    0.   12.88  0.    0.  ], kappa is 0.0
[04-25 14:58:07] [INFO]: unseen per AA [ 0.    0.   11.78  0.    0.  ], kappa is 0.0
[04-25 14:58:09] [INFO]: unseen per AA [ 0.   0.  26.3  0.   0. ], kappa is 0.0
[04-25 14:58:11] [INFO]: unseen per AA [ 0.    0.   17.26  0.    0.  ], kappa is 0.0
[04-25 14:58:12] [INFO]: unseen per AA [ 0.    0.   19.73  0.    0.  ], kappa is 0.0
[04-25 14:58:14] [INFO]: unseen per AA [ 0.    0.   25.21  0.    0.  ], kappa is 0.0
[04-25 14:58:16] [INFO]: unseen per AA [ 0.    0.   22.19  0.    0.  ], kappa is 0.0
[04-25 14:58:16] [CRITICAL]: Current experment have been finished.

